pnu,floor,year_approval,area_exclusive,price
11440111001,1,1991,48.3,282500000.0
11440120001,1,1992,50.28,255000000.0
11440123001,1,1975,45.69,440000000.0
11440123001,1,1990,36.93,145000000.0
11440125001,1,2002,44.6,158000000.0
11440125001,1,1983,65.55,290000000.0
11440125001,1,1983,67.02,305000000.0
11440126001,1,1987,44.64,206000000.0
11440126001,1,1987,44.64,205000000.0
11440126001,1,1990,36.39,170500000.0
11470101001,1,1982,63.8,197500000.0
11470101001,1,2001,35.19,149000000.0
11470101001,1,2002,64.52,250000000.0
11470101001,1,2002,75.26,255000000.0
11470102001,1,1986,35.34,130000000.0
11470102001,1,1995,84.17,293000000.0
11470102001,1,1991,36.96,133000000.0
11470102001,1,2001,66.42,236000000.0
11470102001,1,1991,51.85,140000000.0
11470103001,1,1988,32.27,105000000.0
11470103001,1,1994,37.97,102000000.0
11470103001,1,1992,38.15,87500000.0
11470103001,1,1983,46.77,135000000.0
11470103001,1,1980,62.35,220000000.0
11470103001,1,1983,69.73,210000000.0
11470103001,1,1988,31.19,90000000.0
11470103001,1,1986,37.7,106000000.0
11470103001,1,1991,41.1,205000000.0
11470103001,1,1989,37.94,110000000.0
11470103001,1,1989,36.2,90000000.0
11470103001,1,1987,39.12,125000000.0
11470103001,1,1988,39.94,110000000.0
11500102001,1,1991,49.92,157000000.0
11500102001,1,1982,57.3,240000000.0
11500103001,1,2008,23.32,64000000.0
11500103001,1,2001,60.53,166000000.0
11500103001,1,2002,44.36,134000000.0
11500103001,1,1991,37.92,118000000.0
11500103001,1,1990,47.58,105000000.0
11500103001,1,2011,43.82,210000000.0
11500103001,1,2000,67.81,174000000.0
11500103001,1,2002,43.95,101000000.0
11500103001,1,2008,37.75,148000000.0
11500103001,1,2003,50.97,180000000.0
11500103001,1,2001,67.88,190000000.0
11500103001,1,1986,36.8,117000000.0
11500103001,1,1986,40.86,251000000.0
11500103001,1,2001,28.8,125000000.0
11500105001,1,1984,69.93,543000000.0
11500106001,1,1993,95.4,295000000.0
11500106001,1,1991,68.89,228000000.0
11500109001,1,1997,69.84,237000000.0
11500109001,1,1986,42.35,128000000.0
11500109001,1,2002,60.56,365000000.0
11530102001,1,1986,63.0,150000000.0
11530107001,1,2001,45.24,130000000.0
11530107001,1,1993,42.51,165000000.0
11530108001,1,1987,45.9,248000000.0
11530108001,1,1986,60.36,175000000.0
11530108001,1,1982,67.76,260000000.0
11530108001,1,1989,39.77,197000000.0
11530110001,1,1985,65.64,196000000.0
11530110001,1,1985,65.64,191000000.0
11545102001,1,2001,53.97,180000000.0
11545102001,1,2000,59.75,180000000.0
11545102001,1,2001,65.29,169000000.0
11545103001,1,2002,62.81,185000000.0
11545103001,1,1981,44.2,145000000.0
11545103001,1,1986,44.37,135000000.0
11545103001,1,1982,36.53,145000000.0
11545103001,1,1984,47.94,190000000.0
11545103001,1,1989,25.44,142000000.0
11545103001,1,1984,72.35,250000000.0
11560132001,1,1992,26.4,145000000.0
11560132001,1,1998,59.82,228000000.0
11560132001,1,2007,34.56,210000000.0
11560132001,1,1983,63.72,169000000.0
11560132001,1,1995,45.53,210000000.0
11560132001,1,1987,48.93,240000000.0
11560132001,1,1995,40.96,160000000.0
11560133001,1,1986,49.48,85000000.0
11560133001,1,1998,62.78,225000000.0
11590101001,1,1991,50.94,260000000.0
11590102001,1,1992,49.95,165000000.0
11590102001,1,1983,60.18,320000000.0
11590102001,1,1983,70.71,320000000.0
11590102001,1,1983,60.18,320000000.0
11590102001,1,2014,29.93,214800000.0
11590102001,1,1986,69.79,260000000.0
11590102001,1,2002,50.22,193000000.0
11590105001,1,1995,50.94,443000000.0
11590105001,1,1990,48.15,441000000.0
11590107001,1,1990,50.6,436500000.0
